DT_DATREF_INFO,PERC_SLAS_CUM
2019-01-02,37.83783783783784
2019-01-03,44.38202247191011
2019-01-04,43.46289752650176
2019-01-05,45.20547945205479
2019-01-07,45.91029023746702
2019-01-08,46.34146341463415
2019-01-09,46.82835820895522
2019-01-10,44.827586206896555
2019-01-11,42.758620689655174
2019-01-12,42.64099037138927
2019-01-14,42.857142857142854
2019-01-15,42.217484008528785
2019-01-16,42.53875968992248
2019-01-17,43.63636363636363
2019-01-18,44.672454617206
2019-01-19,44.81946624803768
2019-01-21,44.16058394160584
2019-01-22,44.29347826086957
2019-01-23,44.085326438267614
2019-01-24,43.30085261875761
2019-01-25,43.899657924743444
2019-01-26,43.93162393162393
2019-01-28,44.079655543595265
2019-01-29,44.41056910569105
2019-01-30,44.230769230769226
2019-01-31,44.26002766251729
2019-02-01,40.909090909090914
2019-02-02,42.98245614035088
2019-02-04,45.370370370370374
2019-02-05,46.2962962962963
2019-02-06,43.872549019607845
2019-02-07,43.117408906882595
2019-02-08,43.20557491289199
2019-02-09,43.44827586206896
2019-02-11,41.28166915052161
2019-02-12,41.7201540436457
2019-02-13,40.401785714285715
2019-02-14,39.89949748743719
2019-02-15,39.80409617097062
2019-02-18,39.6928051738076
2019-02-19,39.5725865880619
2019-02-20,38.81491344873502
2019-02-21,37.9415347137637
2019-02-22,36.312849162011176
2019-02-23,36.559734513274336
2019-02-25,35.668156979632386
2019-02-26,34.694835680751176
