DT_DATREF_INFO,PERC_SLAS_CUM
2019-01-01,83.33333333333334
2019-01-02,59.16030534351145
2019-01-03,62.40740740740741
2019-01-04,62.874251497005986
2019-01-05,62.985685071574636
2019-01-06,62.96650717703349
2019-01-07,62.74038461538461
2019-01-08,63.337628865979376
2019-01-09,63.87236343969713
2019-01-10,63.45249294449671
2019-01-11,62.321209644462606
2019-01-12,62.254713351288956
2019-01-13,62.35514018691589
2019-01-14,62.66621206955336
2019-01-15,62.55411255411255
2019-01-16,62.928082191780824
2019-01-17,63.51211964930377
2019-01-18,63.73416208462825
2019-01-19,63.47222222222222
2019-01-20,63.54758119464001
2019-01-21,63.389613165206235
2019-01-22,63.373493975903614
2019-01-23,62.93941660433807
2019-01-24,62.90896159317212
2019-01-25,62.48725790010193
2019-01-26,62.74412446209864
2019-01-27,62.900588620013075
2019-01-28,62.72244770527631
2019-01-29,62.45342077805932
2019-01-30,62.16789146410401
2019-01-31,62.11112620567858
2019-02-01,57.19298245614035
2019-02-02,56.03644646924829
2019-02-03,59.77011494252874
2019-02-04,62.24116930572473
2019-02-05,62.25919439579685
2019-02-06,61.08108108108108
2019-02-07,59.388646288209614
2019-02-08,59.33302454840204
2019-02-09,59.03307888040712
2019-02-10,59.26229508196721
2019-02-11,59.98542274052478
2019-02-12,59.71107544141252
2019-02-13,59.500850822461715
2019-02-14,59.5695020746888
2019-02-15,58.98903195040535
2019-02-16,58.57538035961273
2019-02-17,58.86877828054299
2019-02-18,59.227195945945944
2019-02-19,59.27459097181155
2019-02-20,59.415763365790916
2019-02-21,58.9471885147838
2019-02-22,58.389694041867955
2019-02-23,58.160237388724035
2019-02-24,57.967914438502675
2019-02-25,57.08369037417881
2019-02-26,56.04215136170795
